2013/09/22,15:45:47,500,"Kimi Raikkonen"
2013/09/22,15:20:48,250,"Kimi Raikkonen"
2013/09/21,15:11:54,200,"Kimi Raikkonen"
2013/09/08,15:05:01,150,"Kimi Raikkonen"
2013/09/08,14:48:59,100,"Kimi Raikkonen"
2013/09/07,14:11:06,50,"Kimi Raikkonen"
2013/09/06,10:55:41,40,"Kimi Raikkonen"
2013/08/25,14:49:45,33,"Kimi Raikkonen"
2013/08/24,16:05:41,20,"Kimi Raikkonen"
2013/08/20,16:59:15,14,"Kimi Raikkonen"
2013/07/28,15:10:04,12,"Kimi Raikkonen"
2013/07/07,15:11:44,10,"Kimi Raikkonen"
2013/07/07,15:11:32,8,"Kimi Raikkonen"
2013/07/06,14:49:09,20,"Kimi Raikkonen"
2013/07/05,10:18:09,18,"Kimi Raikkonen"
2013/07/05,10:06:32,16,"Kimi Raikkonen"
2013/06/09,21:10:22,14,"Kimi Raikkonen"
2013/06/09,21:02:14,12,"Kimi Raikkonen"
2013/06/09,20:55:38,10,"Kimi Raikkonen"
2013/05/26,15:55:45,7,"Kimi Raikkonen"
2013/05/25,15:39:23,6,"Kimi Raikkonen"
2013/05/12,15:07:56,5.5,"Kimi Raikkonen"
2013/05/12,15:07:08,5,"Kimi Raikkonen"
2013/04/21,15:18:57,5.5,"Kimi Raikkonen"
2013/04/20,15:09:44,6,"Kimi Raikkonen"
2013/04/19,13:40:30,5.5,"Kimi Raikkonen"
2013/04/14,10:31:06,6,"Kimi Raikkonen"
2013/04/14,10:08:38,6.5,"Kimi Raikkonen"
2013/04/14,10:07:52,6,"Kimi Raikkonen"
2013/04/13,08:37:12,6.5,"Kimi Raikkonen"
2013/04/13,06:10:17,7,"Kimi Raikkonen"
2013/04/12,04:55:17,6.5,"Kimi Raikkonen"
2013/03/24,10:12:11,6,"Kimi Raikkonen"
2013/03/24,10:05:49,5,"Kimi Raikkonen"
2013/03/22,07:05:18,3.5,"Kimi Raikkonen"
2013/03/22,06:09:28,3,"Kimi Raikkonen"
2013/03/22,03:40:19,3.33333333333333,"Kimi Raikkonen"
2013/03/17,07:57:57,3.5,"Kimi Raikkonen"
2013/03/17,01:07:40,11,"Kimi Raikkonen"
2013/03/15,07:52:06,9,"Kimi Raikkonen"
2013/03/15,07:37:17,10,"Kimi Raikkonen"
2013/03/07,16:18:46,11,"Kimi Raikkonen"
2013/03/03,10:53:22,12,"Kimi Raikkonen"
2013/02/15,21:49:57,11,"Kimi Raikkonen"
2013/02/14,09:27:26,12,"Kimi Raikkonen"
2012/12/31,00:18:08,11,"Kimi Raikkonen"
2012/11/25,19:14:45,10,"Kimi Raikkonen"
2013/10/06,09:31:27,200,"Lewis Hamilton"
2013/10/06,09:31:22,250,"Lewis Hamilton"
2013/10/06,09:20:00,150,"Lewis Hamilton"
2013/10/06,09:08:24,80,"Lewis Hamilton"
2013/10/04,07:30:05,40,"Lewis Hamilton"
2013/09/22,15:20:47,50,"Lewis Hamilton"
2013/09/21,15:11:51,33,"Lewis Hamilton"
2013/09/20,17:42:13,28,"Lewis Hamilton"
2013/09/20,17:42:11,18,"Lewis Hamilton"
2013/09/08,15:04:57,33,"Lewis Hamilton"
2013/09/08,14:48:53,25,"Lewis Hamilton"
2013/09/07,14:11:02,12,"Lewis Hamilton"
2013/09/06,10:56:33,10,"Lewis Hamilton"
2013/09/06,10:55:35,9,"Lewis Hamilton"
2013/08/25,14:50:17,10,"Lewis Hamilton"
2013/08/25,14:49:24,8,"Lewis Hamilton"
2013/08/24,16:05:37,7,"Lewis Hamilton"
2013/08/06,20:01:04,8,"Lewis Hamilton"
2013/08/02,18:34:19,9,"Lewis Hamilton"
2013/07/28,15:11:25,10,"Lewis Hamilton"
2013/07/28,15:10:04,12,"Lewis Hamilton"
2013/07/07,15:11:58,20,"Lewis Hamilton"
2013/07/07,15:11:32,16,"Lewis Hamilton"
2013/07/07,09:43:53,9,"Lewis Hamilton"
2013/07/06,14:49:09,10,"Lewis Hamilton"
2013/07/05,11:08:42,12,"Lewis Hamilton"
2013/07/05,10:20:50,10,"Lewis Hamilton"
2013/07/05,10:18:52,12,"Lewis Hamilton"
2013/07/05,10:06:29,14,"Lewis Hamilton"
2013/06/30,16:19:16,16,"Lewis Hamilton"
2013/06/30,15:12:51,18,"Lewis Hamilton"
2013/06/30,14:50:58,20,"Lewis Hamilton"
2013/06/29,14:29:18,18,"Lewis Hamilton"
2013/06/09,21:02:17,20,"Lewis Hamilton"
2013/05/26,17:46:45,22,"Lewis Hamilton"
2013/05/26,15:55:50,20,"Lewis Hamilton"
2013/05/25,15:39:39,16,"Lewis Hamilton"
2013/05/23,13:03:29,22,"Lewis Hamilton"
2013/05/12,15:29:33,25,"Lewis Hamilton"
2013/05/12,15:12:11,22,"Lewis Hamilton"
2013/05/12,15:11:47,25,"Lewis Hamilton"
2013/05/12,15:08:01,22,"Lewis Hamilton"
2013/05/12,15:07:17,20,"Lewis Hamilton"
2013/04/21,15:27:22,14,"Lewis Hamilton"
2013/04/21,15:27:15,16,"Lewis Hamilton"
2013/04/21,15:13:26,14,"Lewis Hamilton"
2013/04/20,10:44:21,10,"Lewis Hamilton"
2013/04/20,10:03:58,11,"Lewis Hamilton"
2013/04/19,13:40:36,10,"Lewis Hamilton"
2013/04/14,10:52:58,9,"Lewis Hamilton"
2013/04/14,10:12:49,8,"Lewis Hamilton"
2013/04/14,10:07:27,9,"Lewis Hamilton"
2013/04/13,08:37:15,8,"Lewis Hamilton"
2013/04/13,06:10:20,9,"Lewis Hamilton"
2013/04/12,04:55:01,10,"Lewis Hamilton"
2013/03/24,10:05:51,12,"Lewis Hamilton"
2013/03/23,10:10:40,14,"Lewis Hamilton"
2013/03/23,06:06:35,12,"Lewis Hamilton"
2013/03/23,06:05:42,11,"Lewis Hamilton"
2013/03/22,12:57:28,12,"Lewis Hamilton"
2013/03/22,07:06:33,11,"Lewis Hamilton"
2013/03/22,07:05:18,12,"Lewis Hamilton"
2013/03/17,07:57:52,10,"Lewis Hamilton"
2013/03/17,01:07:40,8,"Lewis Hamilton"
2013/03/16,03:29:51,7,"Lewis Hamilton"
2013/03/06,10:05:51,8,"Lewis Hamilton"
2013/03/03,20:43:23,7,"Lewis Hamilton"
2013/03/03,10:50:17,10,"Lewis Hamilton"
2013/03/02,16:28:47,11,"Lewis Hamilton"
2013/03/02,14:05:50,12,"Lewis Hamilton"
2013/02/07,15:59:34,14,"Lewis Hamilton"
2012/12/31,00:18:08,12,"Lewis Hamilton"
2012/11/25,19:14:45,14,"Lewis Hamilton"
2013/02/14,09:08:58,3000,"Luiz Razia"
2013/09/22,15:20:53,1000,"Mark Webber"
2013/09/08,15:05:03,500,"Mark Webber"
2013/09/08,14:49:05,400,"Mark Webber"
2013/09/07,14:11:10,300,"Mark Webber"
2013/09/06,10:55:48,400,"Mark Webber"
2013/08/25,14:49:36,300,"Mark Webber"
2013/08/20,16:59:04,200,"Mark Webber"
2013/07/07,15:11:32,150,"Mark Webber"
2013/07/05,14:50:09,100,"Mark Webber"
2013/06/30,15:12:56,150,"Mark Webber"
2013/06/09,20:55:54,125,"Mark Webber"
2013/05/12,15:07:41,100,"Mark Webber"
2013/05/12,15:07:33,80,"Mark Webber"
2013/05/11,15:16:45,66,"Mark Webber"
2013/04/21,15:24:03,50,"Mark Webber"
2013/04/21,15:15:31,40,"Mark Webber"
2013/04/14,11:15:23,33,"Mark Webber"
2013/04/14,10:07:30,40,"Mark Webber"
2013/04/13,08:37:18,28,"Mark Webber"
2013/04/13,06:10:22,22,"Mark Webber"
2013/03/24,10:05:59,20,"Mark Webber"
2013/03/23,10:10:40,25,"Mark Webber"
2013/03/22,07:05:18,18,"Mark Webber"
2013/03/22,03:40:15,16,"Mark Webber"
2013/03/17,08:00:30,20,"Mark Webber"
2013/03/17,08:00:00,18,"Mark Webber"
2013/03/17,07:58:16,16,"Mark Webber"
2013/03/17,01:07:40,12,"Mark Webber"
